brand,model,top_speed_kmh,battery_capacity_kWh,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,drivetrain,segment,car_body_type
Mercedes-Benz,EQS 450 4MATIC,210,118,180,655,5.7,160,CCS,AWD,F - Luxury,Sedan
Mercedes-Benz,EQS 450+,210,118,173,685,6.2,160,CCS,RWD,F - Luxury,Sedan
Mercedes-Benz,EQS 500 4MATIC,210,118,180,640,4.9,160,CCS,AWD,F - Luxury,Sedan
Mercedes-Benz,EQS 580 4MATIC,210,118,180,640,4.4,160,CCS,AWD,F - Luxury,Sedan
Mercedes-Benz,EQS AMG 53 4MATIC+,250,118,222,585,3.4,160,CCS,AWD,F - Luxury,Sedan
Mercedes-Benz,EQS SUV 450 4MATIC,210,118,199,530,6.1,160,CCS,AWD,JF - Luxury,SUV
Mercedes-Benz,EQS SUV 450+,210,118,195,540,6.8,160,CCS,RWD,JF - Luxury,SUV
Mercedes-Benz,EQS SUV 500 4MATIC,210,118,199,530,5.3,160,CCS,AWD,JF - Luxury,SUV
Mercedes-Benz,EQS SUV 580 4MATIC,210,118,199,530,4.7,160,CCS,AWD,JF - Luxury,SUV
Mercedes-Benz,EQS SUV Maybach 680,210,118,211,490,4.4,160,CCS,AWD,JF - Luxury,SUV
Mercedes-Benz,EQT 200 Long,132,45,177,220,13.3,50,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,EQT 200 Standard,132,45,167,225,12.6,50,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,EQV 250 Extra-Long,160,60,282,210,12,60,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,EQV 250 Long,160,60,282,215,12,60,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,EQV 300 Extra-Long,140,90,249,315,12.2,96,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,EQV 300 Long,160,90,276,320,12.1,96,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,G 580,180,116,267,360,4.7,150,CCS,AWD,JF - Luxury,SUV
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,160,60,254,215,12,60,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,eVito Tourer Long 60 kWh,160,60,259,220,12,60,CCS,FWD,N - Passenger Van,Small Passenger Van
Mercedes-Benz,eVito Tourer Long 90 kWh,160,90,260,325,12.1,96,CCS,FWD,N - Passenger Van,Small Passenger Van
Mini,Aceman E,160,38.5,129,230,7.9,60,CCS,FWD,JB - Compact,SUV
Mini,Aceman JCW,200,49.2,143,280,6.4,75,CCS,FWD,JB - Compact,SUV
Mini,Aceman SE,170,49.2,129,290,7.1,75,CCS,FWD,JB - Compact,SUV
Mini,Cooper E,160,36.6,125,250,7.3,60,CCS,FWD,B - Compact,Hatchback
Mini,Cooper JCW,200,49.2,135,290,5.9,75,CCS,FWD,B - Compact,Hatchback
Mini,Cooper SE,170,49.2,127,330,6.7,75,CCS,FWD,B - Compact,Hatchback
Mini,Countryman E,170,64.6,140,380,8.6,94,CCS,FWD,JC - Medium,SUV
Mini,Countryman SE ALL4,180,64.6,149,365,5.6,94,CCS,AWD,JC - Medium,SUV
NIO,EL6 Long Range,200,90,170,435,4.5,135,CCS,AWD,JE - Executive,SUV
NIO,EL6 Standard Range,200,73.5,181,365,4.5,110,CCS,AWD,JE - Executive,SUV
NIO,EL7 Long Range,200,90,185,430,3.9,100,CCS,AWD,JF - Luxury,SUV
NIO,EL7 Standard Range,200,73.5,198,355,3.9,110,CCS,AWD,JF - Luxury,SUV
NIO,EL8 Long Range,200,90,185,440,4.1,190,CCS,AWD,JF - Luxury,SUV
NIO,EL8 Standard Range,200,73.5,196,360,4.1,110,CCS,AWD,JF - Luxury,SUV
NIO,ET5 Long Range,200,90,167,500,4,100,CCS,AWD,E - Executive,Sedan
NIO,ET5 Standard Range,200,73.5,175,410,4,110,CCS,AWD,E - Executive,Sedan
NIO,ET5 Touring Long Range,200,90,178,485,4,135,CCS,AWD,E - Executive,Station/Estate
NIO,ET5 Touring Standard Range,200,73.5,169,400,4,110,CCS,AWD,E - Executive,Station/Estate
NIO,ET7 Long Range,200,90,178,505,3.8,100,CCS,AWD,F - Luxury,Sedan
NIO,ET7 Standard Range,200,73.5,191,415,3.8,110,CCS,AWD,F - Luxury,Sedan
Nissan,Ariya 63kWh,160,63,175,335,7.5,90,CCS,FWD,JC - Medium,SUV
Nissan,Ariya 87kWh,160,87,169,450,7.6,110,CCS,FWD,JC - Medium,SUV
Nissan,Ariya e-4ORCE 87kWh - 225 kW,200,87,190,405,5.7,110,CCS,AWD,JC - Medium,SUV
